000001.jpg
162770.jpg
162770
Train: [2][450/1271]	BT 0.825 (0.825)	DT 0.000 (0.005)	loss 4.985 (5.314)
Train: [2][460/1271]	BT 0.827 (0.825)	DT 0.000 (0.005)	loss 5.010 (5.313)
Train: [2][470/1271]	BT 0.821 (0.825)	DT 0.000 (0.005)	loss 5.254 (5.313)
Train: [2][480/1271]	BT 0.822 (0.825)	DT 0.000 (0.005)	loss 5.026 (5.312)
Train: [2][490/1271]	BT 0.823 (0.825)	DT 0.000 (0.005)	loss 5.344 (5.312)
Train: [2][500/1271]	BT 0.822 (0.825)	DT 0.000 (0.005)	loss 5.478 (5.311)
Train: [2][510/1271]	BT 0.824 (0.824)	DT 0.000 (0.005)	loss 5.145 (5.310)
Train: [2][520/1271]	BT 0.819 (0.824)	DT 0.000 (0.005)	loss 5.210 (5.309)
Train: [2][530/1271]	BT 0.823 (0.824)	DT 0.000 (0.005)	loss 5.431 (5.308)
Train: [2][540/1271]	BT 0.817 (0.824)	DT 0.000 (0.005)	loss 5.348 (5.308)
Train: [2][550/1271]	BT 0.821 (0.824)	DT 0.000 (0.005)	loss 4.815 (5.307)
Train: [2][560/1271]	BT 0.820 (0.824)	DT 0.000 (0.004)	loss 5.123 (5.308)
Train: [2][570/1271]	BT 0.822 (0.824)	DT 0.000 (0.004)	loss 5.254 (5.307)
Train: [2][580/1271]	BT 0.824 (0.824)	DT 0.000 (0.004)	loss 5.354 (5.309)
Train: [2][590/1271]	BT 0.822 (0.824)	DT 0.000 (0.004)	loss 5.389 (5.308)
Train: [2][600/1271]	BT 0.821 (0.824)	DT 0.000 (0.004)	loss 5.357 (5.307)
Train: [2][610/1271]	BT 0.820 (0.824)	DT 0.000 (0.004)	loss 5.360 (5.307)
Train: [2][620/1271]	BT 0.823 (0.824)	DT 0.000 (0.004)	loss 5.465 (5.308)
Train: [2][630/1271]	BT 0.819 (0.824)	DT 0.000 (0.004)	loss 5.281 (5.305)
Train: [2][640/1271]	BT 0.822 (0.824)	DT 0.000 (0.004)	loss 5.455 (5.304)
Train: [2][650/1271]	BT 0.823 (0.824)	DT 0.000 (0.004)	loss 5.417 (5.302)
Train: [2][660/1271]	BT 0.817 (0.824)	DT 0.000 (0.004)	loss 5.144 (5.302)
Train: [2][670/1271]	BT 0.818 (0.824)	DT 0.000 (0.004)	loss 5.209 (5.302)
Train: [2][680/1271]	BT 0.822 (0.824)	DT 0.000 (0.004)	loss 5.086 (5.300)
Train: [2][690/1271]	BT 0.819 (0.824)	DT 0.000 (0.004)	loss 4.910 (5.300)
Train: [2][700/1271]	BT 0.815 (0.823)	DT 0.000 (0.004)	loss 5.399 (5.301)
Train: [2][710/1271]	BT 0.812 (0.823)	DT 0.000 (0.004)	loss 5.086 (5.301)
Train: [2][720/1271]	BT 0.818 (0.823)	DT 0.000 (0.003)	loss 5.699 (5.300)
Train: [2][730/1271]	BT 0.819 (0.823)	DT 0.000 (0.003)	loss 5.185 (5.300)
Train: [2][740/1271]	BT 0.821 (0.823)	DT 0.000 (0.003)	loss 5.743 (5.299)
Train: [2][750/1271]	BT 0.821 (0.823)	DT 0.000 (0.003)	loss 5.470 (5.297)
Train: [2][760/1271]	BT 0.820 (0.823)	DT 0.000 (0.003)	loss 5.447 (5.298)
Train: [2][770/1271]	BT 0.819 (0.823)	DT 0.000 (0.003)	loss 5.419 (5.299)
Train: [2][780/1271]	BT 0.821 (0.823)	DT 0.000 (0.003)	loss 5.173 (5.297)
Train: [2][790/1271]	BT 0.826 (0.823)	DT 0.000 (0.003)	loss 5.193 (5.299)
Train: [2][800/1271]	BT 0.818 (0.823)	DT 0.000 (0.003)	loss 5.442 (5.298)
Train: [2][810/1271]	BT 0.819 (0.823)	DT 0.000 (0.003)	loss 4.945 (5.299)
Train: [2][820/1271]	BT 0.820 (0.823)	DT 0.000 (0.003)	loss 5.257 (5.300)
Train: [2][830/1271]	BT 0.817 (0.823)	DT 0.000 (0.003)	loss 4.760 (5.299)
Train: [2][840/1271]	BT 0.820 (0.823)	DT 0.000 (0.003)	loss 5.075 (5.299)
Train: [2][850/1271]	BT 0.821 (0.823)	DT 0.000 (0.003)	loss 5.027 (5.299)
Train: [2][860/1271]	BT 0.819 (0.823)	DT 0.000 (0.003)	loss 5.422 (5.298)
Train: [2][870/1271]	BT 0.819 (0.823)	DT 0.000 (0.003)	loss 5.046 (5.298)
Train: [2][880/1271]	BT 0.818 (0.823)	DT 0.000 (0.003)	loss 5.219 (5.297)
Train: [2][890/1271]	BT 0.822 (0.823)	DT 0.000 (0.003)	loss 5.452 (5.297)
Train: [2][900/1271]	BT 0.819 (0.823)	DT 0.000 (0.003)	loss 5.221 (5.298)
Train: [2][910/1271]	BT 0.819 (0.823)	DT 0.000 (0.003)	loss 5.491 (5.300)
Train: [2][920/1271]	BT 0.823 (0.823)	DT 0.000 (0.003)	loss 5.574 (5.298)
Train: [2][930/1271]	BT 0.820 (0.823)	DT 0.000 (0.003)	loss 5.332 (5.297)
Train: [2][940/1271]	BT 0.820 (0.823)	DT 0.000 (0.003)	loss 5.429 (5.297)
Train: [2][950/1271]	BT 0.818 (0.823)	DT 0.000 (0.003)	loss 5.591 (5.297)
Train: [2][960/1271]	BT 0.822 (0.822)	DT 0.000 (0.003)	loss 5.137 (5.296)
Train: [2][970/1271]	BT 0.816 (0.822)	DT 0.000 (0.003)	loss 5.708 (5.296)
Train: [2][980/1271]	BT 0.819 (0.822)	DT 0.000 (0.003)	loss 5.448 (5.297)
Train: [2][990/1271]	BT 0.823 (0.822)	DT 0.000 (0.003)	loss 5.161 (5.295)
Train: [2][1000/1271]	BT 0.821 (0.822)	DT 0.000 (0.003)	loss 5.407 (5.296)
Train: [2][1010/1271]	BT 0.821 (0.822)	DT 0.000 (0.003)	loss 5.164 (5.297)
Train: [2][1020/1271]	BT 0.819 (0.822)	DT 0.000 (0.003)	loss 5.159 (5.296)
Train: [2][1030/1271]	BT 0.821 (0.822)	DT 0.000 (0.002)	loss 5.346 (5.297)
Train: [2][1040/1271]	BT 0.819 (0.822)	DT 0.000 (0.002)	loss 5.274 (5.297)
Train: [2][1050/1271]	BT 0.821 (0.822)	DT 0.000 (0.002)	loss 5.038 (5.297)
Train: [2][1060/1271]	BT 0.819 (0.822)	DT 0.000 (0.002)	loss 4.953 (5.296)
Train: [2][1070/1271]	BT 0.817 (0.822)	DT 0.000 (0.002)	loss 4.852 (5.294)
Train: [2][1080/1271]	BT 0.820 (0.822)	DT 0.000 (0.002)	loss 5.604 (5.294)
Train: [2][1090/1271]	BT 0.823 (0.822)	DT 0.000 (0.002)	loss 5.361 (5.294)
Train: [2][1100/1271]	BT 0.820 (0.822)	DT 0.000 (0.002)	loss 5.602 (5.294)
Train: [2][1110/1271]	BT 0.818 (0.822)	DT 0.000 (0.002)	loss 5.176 (5.294)
Train: [2][1120/1271]	BT 0.820 (0.822)	DT 0.000 (0.002)	loss 5.353 (5.295)
Train: [2][1130/1271]	BT 0.819 (0.822)	DT 0.000 (0.002)	loss 5.169 (5.296)
Train: [2][1140/1271]	BT 0.823 (0.822)	DT 0.000 (0.002)	loss 5.192 (5.297)
Train: [2][1150/1271]	BT 0.820 (0.822)	DT 0.000 (0.002)	loss 5.466 (5.296)
Train: [2][1160/1271]	BT 0.822 (0.822)	DT 0.000 (0.002)	loss 5.337 (5.297)
Train: [2][1170/1271]	BT 0.816 (0.822)	DT 0.000 (0.002)	loss 5.358 (5.296)
Train: [2][1180/1271]	BT 0.820 (0.822)	DT 0.000 (0.002)	loss 5.165 (5.295)
Train: [2][1190/1271]	BT 0.826 (0.822)	DT 0.000 (0.002)	loss 4.980 (5.295)
Train: [2][1200/1271]	BT 0.817 (0.822)	DT 0.000 (0.002)	loss 5.751 (5.296)
Train: [2][1210/1271]	BT 0.820 (0.822)	DT 0.000 (0.002)	loss 4.998 (5.295)
Train: [2][1220/1271]	BT 0.817 (0.822)	DT 0.000 (0.002)	loss 5.533 (5.296)
Train: [2][1230/1271]	BT 0.820 (0.822)	DT 0.000 (0.002)	loss 5.026 (5.295)
Train: [2][1240/1271]	BT 0.819 (0.822)	DT 0.012 (0.002)	loss 4.716 (5.293)
Train: [2][1250/1271]	BT 0.821 (0.822)	DT 0.000 (0.002)	loss 5.435 (5.293)
Train: [2][1260/1271]	BT 0.819 (0.822)	DT 0.000 (0.002)	loss 5.401 (5.293)
Train: [2][1270/1271]	BT 0.824 (0.822)	DT 0.000 (0.002)	loss 4.699 (5.292)
epoch 2, total time 1044.85
Train: [3][10/1271]	BT 0.821 (1.005)	DT 0.000 (0.229)	loss 5.040 (5.310)
Train: [3][20/1271]	BT 0.818 (0.912)	DT 0.000 (0.114)	loss 5.407 (5.286)
Train: [3][30/1271]	BT 0.824 (0.881)	DT 0.000 (0.076)	loss 5.149 (5.289)
Train: [3][40/1271]	BT 0.820 (0.867)	DT 0.000 (0.057)	loss 4.872 (5.278)
Train: [3][50/1271]	BT 0.821 (0.857)	DT 0.000 (0.046)	loss 5.456 (5.268)
Train: [3][60/1271]	BT 0.824 (0.851)	DT 0.000 (0.038)	loss 5.073 (5.263)
Train: [3][70/1271]	BT 0.824 (0.847)	DT 0.000 (0.033)	loss 4.856 (5.235)
